metadata,category
4WD_only,other
4wd,other
4wd_only,other
ADDR_TYPE,address
AMOR,other
ARTPATH,other
AddressRan,address
AdminClass,other
Alias,other
BRIDGE_NO,bridges
Bergen_County_database_ref,Metadata for other datasets
CASENUM2,other
CCGIS:bicycle,other
CDOT:ref,other
CDOT:ref:source,other
CDOT_ref,other
CDOT_route,other
CFCC,other
CHA:bicycle,other
CI_LOG_ID,other
CL_Source,other
CODT_route,other
COL,other
COR,other
COUNTYFP,Metadata for other datasets
CRAB_BMP,other
CRAB_EMP,other
CRAB_ID,other
Camille,other
Centerline,other
Cleaned,other
CommunityL,other
CommunityR,other
Cost,other
County,address
Development,other
District,address
EDIT_DATE,other
EID,other
East,other
EdgeID,other
FCC,other
FCLASS,other
FIPS,other
FNODE_,other
FR_ADDR_L,other
FR_ADDR_R,other
FR_ELEV,other
FULLNAME,names
FULL_NAME,names
FayettevilleGIS:address_hi,other
FayettevilleGIS:address_lo,other
Flow,other
FrAdd_L,other
FrAdd_R,other
From_Elev,other
FuncClassI,other
GADOT_HWY:reviewed,other
GADOT_HWY:source,sources for metadata
GADOT_HWY:source_1,other
GlobalID,other
GovLevel,other
HFCS,other
HFCS_ref,other
HIERARCHY,other
ID,other
Juicy,other
JurSplit,other
LABEL,other
LAYER,other
LCITY,other
LCity,other
LEFT_FROM,other
LEFT_TO,other
LENGTH,other
LHI,other
LINEARID,other
LLO,other
LOS,other
LOS2,other
LOS2:add,other
LOS2:note,other
LPOLY_,other
Label,other
LandPro08:DE3,other
LandPro08:DE5,other
LandPro08:LC_NAME,names
LandPro08:LU_NAME,names
LandPro08:reviewed,other
Lefthigh,other
Leftlow,other
Length_Mil,other
MAP_LABEL,other
MATERIAL,other
MCL,other
MCR,other
MTFCC,other
MUNI_L,other
MUNI_R,other
MuniCode,other
Municipality,other
NHD:ComID,other
NHD:FCode,other
NHD:FDate,other
NHD:FTYPE,other
NHD:FType,other
NHD:RESOLUTION,other
NHD:ReachCode,other
NHD:way_id,other
NHS,other
NHX,other
NJDOT_SRI,other
NOTE,notes
NR_STATUS,other
NYSDOT_ref,other
NavigateLA:highway,other
Note,notes
OBJECTID,other
OBJECTID_1,other
ONEWAYDIR,basic (detailed)
ORDNUM,other
Operation,other
Owner,other
PARK_NAME,names
PASS_route,other
POD,other
PRD,other
PREFIX,other
Palomino,other
PathType,other
RCity,other
RD_LOG_ID,other
README,other
README_2,other
REF,other
REM,other
REM:Class,other
RHI,other
RIGHT_FROM,other
RIGHT_TO,other
RLIS:bicycle,bicycle
RLIS:bicycle:left,bicycle
RLIS:bicycle:right,bicycle
RLIS:reviewed,bicycle
RLIS:systemname,names
RLIS:trailid,bicycle
RLO,other
ROAD_NO,other
RPOLY_,other
RTTYP,other
RUCODE,other
Ref,other
RightHigh,other
RightLow,other
RightOfWay,other
RoadType,other
Route,other
RouteName,names
SEGMENT_ID,other
SHAPE_Area,other
SHAPE_LENG,other
SHAPE_Leng,other
SHAPE_len,other
SIN,other
SPR_AMD_OR,other
SRC_DATE,other
STATEFP,Metadata for other datasets
STATUS,other
STN,other
STREETNAME,names
STREETTYPE,other
STREET_,other
STREET_ID,other
STREET_NAM,other
STS,other
SUBDIVIS_1,other
SUBTYPEFIE,other
SUFFIX,other
Segment,other
Segment #,other
Shape_Leng,other
Shape_STLe,other
Shape_len,other
Sign,other
Source,other
Speed,speed limits
Spring,other
State,address
Status,other
StreetID,other
Structure No.,other
TIGER:fips,Metadata for other datasets
TIGER:st_fips,Metadata for other datasets
TIGER:state,Metadata for other datasets
TNODE_,other
TODO,other
TO_ADDR_L,other
TO_ADDR_R,other
TO_ELEV,other
TRL_LENGTH,other
TYPE,other
Texas_Trunk_System,other
Tiger:MTFCC,Metadata for other datasets
ToAdd_L,other
ToAdd_R,other
To_Elev,other
Trail,other
Type,other
US:MD:sha_ref,Metadata for other datasets
US:MD:sha_rteno,Metadata for other datasets
US:MD:sha_rtepre,Metadata for other datasets
US:MD:sha_rtesfx,Metadata for other datasets
USFS,Metadata for other datasets
USFS:systemname,names
USFS:way_id,Metadata for other datasets
USGS-LULC:CLASS,Metadata for other datasets
USGS-LULC:CNTYNAME,names
USGS-LULC:LEVEL_I,Metadata for other datasets
USGS-LULC:LEVEL_II,Metadata for other datasets
USGS-LULC:STATECTY,Metadata for other datasets
Unsigned_ref,other
WIDTH,other
West,other
YearPaved,other
ZIPLEFT,address
ZIP_CODE_L,address
ZIP_CODE_R,address
ZIP_L,address
ZIP_R,address
ZIPright,address
ZONINGCODE,other
_ADMIN_ORG__,Metadata for other datasets
_BMP__,Metadata for other datasets
_CONGRESSIO_,Metadata for other datasets
_COUNTY__,Metadata for other datasets
_EMP__,Metadata for other datasets
_FUNCTIONAL_,Metadata for other datasets
_ID__,Metadata for other datasets
_JURISDICTI_,Metadata for other datasets
_LANES__,Metadata for other datasets
_LINEARID_,Metadata for other datasets
_MANAGING_O_,Metadata for other datasets
_OBJECTIVE__,Metadata for other datasets
_OPER_MAINT_,Metadata for other datasets
_PFSR_CLASS_,Metadata for other datasets
_PRIMARY_MA_,Metadata for other datasets
_ROUTE_STAT_,Metadata for other datasets
_RTE_CN__,Metadata for other datasets
_Rd_Type_,Metadata for other datasets
_Road_Class_,Metadata for other datasets
_SEG_LENGTH_,Metadata for other datasets
_SURFACE_TY_,Metadata for other datasets
_SYSTEM__,Metadata for other datasets
_Season_,Metadata for other datasets
_Shape_Leng_,Metadata for other datasets
_rdname_,Metadata for other datasets
_ref,Metadata for other datasets
abandoned,life_cycle
abandoned:aeroway,life_cycle
abandoned:construction,life_cycle
abandoned:gauge,life_cycle
abandoned:golf,life_cycle
abandoned:highway,life_cycle
abandoned:junction,life_cycle
abandoned:name,life_cycle
abandoned:name_1,life_cycle
abandoned:operator,life_cycle
abandoned:railway,life_cycle
abandoned:ref,life_cycle
abandoned:service,life_cycle
abandoned:usage,life_cycle
